geoid,doc,dentist,pop
17031252101,0,0,1370
17031252102,0,0,6438
17031252201,1,0,2953
17031252202,0,0,4609
17031260100,4,2,1248
17031260200,0,0,1136
17031260300,0,0,1564
17031260400,0,0,1271
17031260500,0,0,1934
17031260600,0,0,2478
17031260700,0,0,2032
17031260800,0,0,2539
17031260900,1,0,1480
17031261000,0,2,2319
17031270500,0,0,1689
17031271200,0,0,1170
17031271300,0,0,1045
17031271400,5,0,1527
17031271500,0,0,1397
17031271800,1,0,970
17031280100,1,5,4872
17031280400,1,0,1366
17031280800,15,1,755
17031280900,0,0,942
17031281900,11,5,4844
17031282700,2,1,2349
17031282800,1,1,1691
17031283100,0,2,2703
17031283200,0,1,1664
17031283800,0,2,3688
17031290900,0,0,4530
17031291200,0,0,2240
17031291600,0,0,1055
17031292200,0,0,2961
17031292400,25,0,2268
17031292500,0,0,4140
17031300500,0,3,3257
17031300600,4,2,3212
17031300700,1,0,5194
17031300800,4,0,4610
17031300900,0,2,5050
17031301100,0,0,2617
17031301200,3,0,4012
17031301600,2,0,4654
17031301701,0,9,4381
17031301702,2,1,4045
17031301801,0,0,4005
17031301802,2,0,3518
17031301803,0,0,5357
17031310200,0,0,1336
17031310300,1,2,1697
17031310400,0,0,1332
17031310500,0,0,1700
17031310600,11,0,5868
17031310700,2,0,1692
17031310800,0,1,4516
17031310900,4,2,5123
17031320100,21,110,10848
17031320400,8,9,2518
17031320600,2,4,4256
17031330100,9,12,16735
17031330200,1,3,3806
17031340300,0,1,1786
17031340400,0,1,1900
17031340500,0,0,1544
17031340600,0,0,907
17031350100,3,0,2144
17031350400,5,0,389
17031351000,1,0,3267
17031351100,0,0,1960
17031351400,1,0,1437
17031351500,0,0,255
17031360200,0,0,1443
17031380100,1,0,1924
17031380200,1,0,1680
17031380500,0,1,752
17031380700,1,2,1243
17031381200,0,0,2167
17031381400,0,1,1612
17031381500,0,0,237
17031381700,2,1,0
17031381800,1,0,1188
17031381900,21,0,1295
17031390100,0,1,1268
17031390200,0,0,1840
17031390300,0,0,2743
17031390400,0,0,2934
17031390500,0,0,1598
17031390600,3,1,1866
17031390700,1,2,5592
17031400300,0,0,1567
17031400400,0,0,1955
17031400500,0,0,2258
17031400800,0,1,2701
17031410100,0,3,1802
17031410200,0,0,1443
17031410500,13,0,2557
17031410600,0,0,2327
17031410700,0,0,2154
17031410800,3,14,2662
17031410900,0,1,2838
17031411000,0,2,3309
17031411100,1,0,2132
17031411200,0,0,1640
17031420100,0,0,1441
17031420200,0,0,1723
17031420300,0,0,2488
17031420400,11,1,1329
17031420500,0,0,2624
17031420600,1,0,2219
17031420700,1,1,3261
17031420800,0,0,2213
17031421200,0,0,1380
17031430101,0,0,3689
17031430102,0,0,2963
17031430200,0,0,4680
17031430300,0,1,2336
17031430400,0,0,2892
17031430500,1,1,3604
17031430600,8,1,1665
17031430700,2,0,2210
17031430800,1,1,1763
17031430900,0,0,1814
17031431200,3,0,3078
17031431301,0,0,3545
17031431302,0,0,4166
17031431400,0,1,6418
17031440101,1,1,3746
17031440102,2,2,3127
17031440201,0,2,5060
17031440202,1,5,2999
17031440300,5,0,4757
17031440600,1,0,2080
17031440700,0,0,1545
17031440800,0,0,1800
17031440900,0,0,2610
17031450300,1,2,3615
17031460100,0,0,3405
17031460200,2,1,2385
17031460301,0,0,3404
17031460302,0,0,3803
17031460400,0,0,3705
17031460500,15,2,5789
17031460600,0,0,1183
17031460700,1,0,3314
17031461000,7,7,1496
17031470100,2,2,2916
17031480100,0,2,2033
17031480200,1,1,1229
17031480300,4,0,1468
17031480400,22,1,5876
17031480500,1,0,3206
17031490300,0,0,2033
17031490400,0,0,1059
17031490500,0,0,2242
17031490600,0,0,1562
17031490700,0,0,3085
17031490800,0,0,4007
17031490901,0,0,3891
17031490902,2,1,5086
17031491000,1,1,5247
17031491100,1,1,4514
17031491200,0,2,2444
17031491300,2,0,2886
17031491400,10,3,2931
17031500100,1,1,3644
17031500200,0,0,2015
17031500300,2,1,1666
17031510100,0,0,3530
17031510200,4,0,2986
17031510300,0,0,5360
17031520100,0,0,2075
17031520200,0,0,3817
17031520300,0,3,6215
17031520400,3,3,4090
17031520500,1,0,4301
17031520600,0,0,2544
17031530100,0,0,2371
17031530200,0,0,5152
17031530300,0,0,4273
17031530400,0,0,2223
17031530501,0,0,5402
17031530502,0,0,1667
17031530503,0,0,5345
17031530600,0,0,3207
17031540101,0,0,3373
17031540102,1,0,3109
17031550100,2,3,6628
17031550200,0,0,2798
17031560100,0,0,1473
17031560200,0,0,1721
17031560300,0,0,3187
17031560400,0,0,1516
17031560700,1,0,3484
17031560800,9,3,5411
17031560900,3,7,5093
17031561000,6,8,5161
17031561100,0,1,5407
17031570100,1,0,1257
17031570200,0,2,1943
17031570300,0,1,6116
17031570400,0,1,1615
17031570500,1,2,2462
17031580100,0,0,2989
17031580200,0,0,3515
17031580300,0,0,2426
17031580400,1,4,4795
17031580501,1,3,5067
17031580502,5,3,5349
17031580600,0,0,5531
17031580700,0,0,6137
17031580800,0,0,2061
17031590500,0,0,1672
17031590600,1,0,3564
17031590700,0,0,3100
17031600400,0,1,3891
17031600600,0,0,2738
17031600700,0,0,2545
17031600900,2,2,3699
17031610300,1,5,5658
17031610400,1,0,2213
17031610800,0,0,1393
17031611000,0,0,1098
17031611100,0,0,2922
17031611200,4,1,2824
17031611300,0,0,3556
17031611400,2,0,4105
17031611500,0,0,3567
17031611600,0,0,1609
17031611700,0,0,1990
17031611800,1,0,2139
17031611900,0,0,2045
17031612000,0,0,1545
17031612100,0,0,1470
17031620100,0,1,4289
17031620200,1,0,2223
17031620300,1,5,6399
17031620400,3,0,5198
17031630100,0,0,1156
17031630200,0,0,1931
17031630300,2,8,5521
17031630400,0,0,7083
17031630500,0,1,6364
17031630800,0,0,7107
17031630900,0,1,5363
17031640100,0,0,1211
17031640300,2,0,6463
17031640400,0,3,3190
17031640500,2,2,3491
17031640600,1,1,3912
17031640700,0,0,3156
17031640800,0,1,1716
17031650100,0,3,4816
17031650200,4,3,7320
17031650301,8,3,5711
17031650302,4,3,4344
17031650400,0,1,6743
17031650500,0,2,4421
17031660301,0,2,1785
17031660302,0,1,5527
17031660400,0,5,5960
17031660500,3,1,5534
17031660600,0,0,6333
17031660700,0,0,2366
17031660800,0,1,5865
17031660900,10,1,4232
17031661000,0,1,5706
17031661100,0,0,6542
17031670100,0,0,1516
17031670200,0,0,1380
17031670300,0,0,1411
17031670400,0,0,1956
17031670500,1,0,1321
17031670600,0,0,1650
17031670700,0,0,1491
17031670800,0,0,1635
17031670900,0,0,1351
17031671100,0,0,1259
17031671200,1,0,1252
17031671300,1,0,2688
17031671400,0,0,2072
17031671500,2,1,3221
17031671600,0,0,2495
17031671800,0,0,1422
17031671900,0,0,1378
17031672000,0,0,3735
17031680500,0,0,1481
17031680600,0,0,1431
17031680900,17,3,4019
17031681000,0,1,3498
17031681100,1,0,3517
17031681200,3,0,2716
17031681300,0,0,2936
17031681400,0,0,3247
17031690300,1,1,2191
17031690400,0,0,3464
17031690500,0,0,877
17031690900,0,1,4520
17031691000,0,0,2492
17031691100,0,0,3266
17031691200,0,0,2847
17031691300,0,1,2448
17031691400,1,0,3611
17031691500,1,1,1930
17031700100,1,0,3427
17031700200,0,0,6609
17031700301,0,1,5728
17031700302,0,0,5319
17031700401,0,4,5923
17031700402,0,3,3914
17031700501,3,3,7125
17031700502,2,0,3036
17031710100,1,0,1275
17031710200,0,0,5049
17031710300,0,0,1414
17031710400,1,0,5651
17031710500,0,0,4123
17031710600,0,0,1838
17031710700,0,0,3583
17031710800,1,2,5338
17031710900,0,0,2198
17031711000,1,1,3475
17031711100,1,0,2835
17031711200,1,5,5145
17031711300,0,0,1626
17031711400,0,1,2654
17031711500,0,0,2539
17031720100,0,3,3300
17031720200,1,2,4016
17031720300,20,6,3723
17031720400,0,3,1924
17031720500,1,0,2166
17031720600,0,4,1756
17031720700,9,1,3149
17031730100,0,0,2424
17031730201,2,1,5941
17031730202,0,0,3115
17031730300,0,0,1166
17031730400,2,2,3514
17031730500,0,0,4388
17031730600,0,1,3614
17031730700,0,0,2331
17031740100,3,3,3048
17031740200,0,2,6547
17031740300,0,7,4713
17031740400,2,1,4785
17031750100,4,3,4147
17031750200,0,6,3227
17031750300,0,3,2530
17031750400,4,7,3009
17031750500,2,2,5936
17031750600,0,0,3681
17031760801,0,0,4047
17031760802,0,1,2276
17031760803,0,3,6236
17031770201,7,8,5894
17031770202,44,10,4912
17031770300,0,2,7313
17031770400,2,1,4505
17031770500,2,0,4078
17031770601,0,1,3232
17031770602,1,3,4956
17031770700,0,0,2681
17031770800,1,2,5582
17031770901,0,5,4934
17031770902,3,2,3521
17031800100,0,0,2419
17031800200,4,11,6312
17031800300,2,1,3501
17031800400,6,8,3762
17031800500,10,2,4901
17031800600,1,6,2400
17031800700,2,2,5135
17031800800,5,4,2206
17031800900,0,3,4416
17031801000,12,0,4908
17031801100,0,0,4715
17031801200,7,7,3547
17031801300,3,5,4283
17031801400,0,0,2919
17031801500,31,32,5928
17031801601,5,6,4234
17031801603,0,1,3855
17031801605,2,3,5599
17031801606,0,2,6066
17031801607,26,10,5287
17031801608,26,7,6564
17031801701,0,0,3728
17031801702,15,12,4671
17031801800,0,4,5619
17031801901,3,7,4369
17031801902,8,1,3223
17031802002,0,1,5071
17031802003,0,1,2684
17031802004,0,6,5381
17031802100,12,6,3573
17031802200,3,20,4410
17031802300,24,9,4840
17031802402,7,4,4821
17031802403,1,0,1399
17031802404,2,3,7226
17031802503,2,2,6200
17031802504,1,0,6601
17031802505,0,3,6844
17031802506,1,7,2508
17031802605,1,0,6799
17031802607,0,1,1444
17031802608,1,0,6256
17031802609,0,0,6699
17031802610,0,0,1729
17031802701,0,4,6952
17031802702,8,4,4498
17031802801,5,2,4793
